id,code,name,type
op_subject_1,LRTP-001,Recognize Land Type,Both
op_subject_2,LRTP-002,Environmental Effects on Land,Theory
op_subject_3,LRTP-003,Effects of Land on Human Life,Theory
op_subject_4,LRTP-004,Project-Land Restoration Techniques,Practical
op_subject_5,LRTP-005,Land Restoration Techniques,Theory
op_subject_6,BOA1-001,Financial Accounting,Theory
op_subject_7,BOA1-002,Taxation,Theory
op_subject_8,BOA1-003,Law & Ethics,Theory
op_subject_9,BOA1-004,Business Management,Theory
op_subject_10,BOA2-001,Advanced Financial Accounting,Theory
op_subject_11,BOA2-002,Advanced Taxation,Theory
op_subject_12,BOA2-003,Management Accounting,Theory
op_subject_13,BOA2-004,Integrated Accounting Systems,Theory
op_subject_14,IELTS-001,IELTS-Reading,Both
op_subject_15,IELTS-002,IELTS-Listening,Both
op_subject_16,IELTS-003,IELTS-Writing,Both
op_subject_17,IELTS-004,IELTS-Speaking,Both
op_subject_18,G8-01,Maths,Theory
op_subject_19,G8-02,English,Theory
op_subject_20,G8-03,Science,Both
