id,barcode,book_id:id,name,state
op_book_unit_1,28392202026,op_book_1,Troposhere in Details-U001,Available
op_book_unit_2,33382092022,op_book_1,Troposhere in Details-U002,Available
op_book_unit_3,39450345356,op_book_1,Troposhere in Details-U003,Available
op_book_unit_4,27302300387,op_book_2,Land Restoration Techniques-Science-U0001,Available
op_book_unit_5,44433345227,op_book_2,Land Restoration Techniques-Science-U0002,Available
op_book_unit_6,54896595404,op_book_2,Land Restoration Techniques-Science-U0003,Available
op_book_unit_7,86583983375,op_book_3,Basic Accounting-U0001,Available
op_book_unit_8,76545655656,op_book_3,Basic Accounting-U0002,Available
op_book_unit_9,76545655893,op_book_3,Basic Accounting-U0003,Available
op_book_unit_10,76545654003,op_book_3,Basic Accounting-U0004,Available
op_book_unit_11,76545644945,op_book_3,Basic Accounting-U0005,Available
op_book_unit_12,58409303037,op_book_4,Advanced Accounting-U0001,Available
op_book_unit_13,58409303888,op_book_4,Advanced Accounting-U0002,Available
op_book_unit_14,58409303763,op_book_4,Advanced Accounting-U0003,Available
op_book_unit_15,58909303766,op_book_4,Advanced Accounting-U0004,Available
op_book_unit_16,58905303762,op_book_4,Advanced Accounting-U0005,Available
